onset	duration	trial_type	cueID	imageryID	stimID	accuracy	vividness
0	32	-1	0	0	0	0	0
32	5	-2	35	0	0	0	0
37	12	2	0	35	0	0	0
49	2	-3	0	0	0	0	0
51	10	3	0	0	35	0	0
61	2	-4	0	0	0	0	0
63	6	-5	0	0	0	3	4
69	2	-6	0	0	0	0	0
71	3	-2	751	0	0	0	0
74	12	2	0	751	0	0	0
86	2	-3	0	0	0	0	0
88	10	3	0	0	751	0	0
98	2	-4	0	0	0	0	0
100	6	-5	0	0	0	4	4
106	2	-6	0	0	0	0	0
108	8	-2	360	0	0	0	0
116	12	2	0	360	0	0	0
128	2	-3	0	0	0	0	0
130	10	3	0	0	360	0	0
140	2	-4	0	0	0	0	0
142	6	-5	0	0	0	3	2
148	2	-6	0	0	0	0	0
150	5	-2	1596	0	0	0	0
155	12	2	0	1596	0	0	0
167	2	-3	0	0	0	0	0
169	10	3	0	0	1596	0	0
179	2	-4	0	0	0	0	0
181	6	-5	0	0	0	4	3
187	2	-6	0	0	0	0	0
189	6	-2	1764	0	0	0	0
195	12	2	0	1764	0	0	0
207	2	-3	0	0	0	0	0
209	10	3	0	0	1764	0	0
219	2	-4	0	0	0	0	0
221	6	-5	0	0	0	4	3
227	2	-6	0	0	0	0	0
229	4	-2	540	0	0	0	0
233	12	2	0	540	0	0	0
245	2	-3	0	0	0	0	0
247	10	3	0	0	540	0	0
257	2	-4	0	0	0	0	0
259	6	-5	0	0	0	2	3
265	2	-6	0	0	0	0	0
267	5	-2	903	0	0	0	0
272	13	2	0	903	0	0	0
285	2	-3	0	0	0	0	0
287	11	3	0	0	903	0	0
298	2	-4	0	0	0	0	0
300	6	-5	0	0	0	3	3
306	2	-6	0	0	0	0	0
308	5	-2	519	0	0	0	0
313	12	2	0	519	0	0	0
325	2	-3	0	0	0	0	0
327	10	3	0	0	519	0	0
337	2	-4	0	0	0	0	0
339	6	-5	0	0	0	4	4
345	2	-6	0	0	0	0	0
347	4	-2	1070	0	0	0	0
351	12	2	0	1070	0	0	0
363	2	-3	0	0	0	0	0
365	10	3	0	0	1070	0	0
375	2	-4	0	0	0	0	0
377	6	-5	0	0	0	3	3
383	2	-6	0	0	0	0	0
385	3	-2	139	0	0	0	0
388	12	2	0	139	0	0	0
400	2	-3	0	0	0	0	0
402	10	3	0	0	139	0	0
412	2	-4	0	0	0	0	0
414	6	-5	0	0	0	2	3
420	2	-6	0	0	0	0	0
422	6	-2	1885	0	0	0	0
428	12	2	0	1885	0	0	0
440	2	-3	0	0	0	0	0
442	10	3	0	0	1885	0	0
452	2	-4	0	0	0	0	0
454	6	-5	0	0	0	4	3
460	2	-6	0	0	0	0	0
462	5	-2	1881	0	0	0	0
467	12	2	0	1881	0	0	0
479	2	-3	0	0	0	0	0
481	10	3	0	0	1881	0	0
491	2	-4	0	0	0	0	0
493	6	-5	0	0	0	3	3
499	2	-6	0	0	0	0	0
501	8	-7	0	0	0	0	0
