onset	duration	trial_type	stimID	stimLabel	evalScore01	evalScore02	evalScore03	evalScore04	evalScore05	evalStim01	evalStim02	evalStim03	evalStim04	evalStim05	evalSent01	evalSent02	evalSent03	evalSent04	evalSent05
0	32	-1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
32	12	2	85	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
44	12	2	996	33	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
56	12	2	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
68	12	2	2129	71	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
80	12	2	139	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
92	23	2	1331	49	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
115	12	2	335	19	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
127	59	3	0	19	2	2	4	3	5	335	335	335	335	335	10	6	16	9	4
186	2	-2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
188	12	2	269	17	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
200	12	2	1824	64	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
212	12	2	1602	54	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
224	12	2	1024	34	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
236	12	2	160	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
248	12	2	1210	44	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
260	12	2	208	14	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
272	12	2	1642	55	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
284	12	2	519	23	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
296	12	2	555	26	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
308	12	2	372	21	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
320	12	2	1764	62	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
332	17	2	40	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
349	12	2	71	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
361	12	2	1048	35	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
373	12	2	1279	46	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
385	12	2	189	12	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
397	12	2	1594	52	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
409	12	2	1059	37	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
421	12	2	571	27	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
433	12	2	360	20	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
445	12	2	166	11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
457	39	3	0	11	3	3	5	4	5	166	166	166	166	166	15	4	20	3	9
496	2	-2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
498	12	2	1881	66	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
510	12	2	1885	67	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
522	12	2	1683	59	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
534	12	2	1688	60	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
546	72	3	0	60	5	3	5	2	4	1688	1688	1688	1688	1688	15	17	1	13	9
618	2	-2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
620	12	2	1295	47	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
632	60	3	0	47	3	5	3	3	4	1295	1295	1295	1295	1295	7	16	19	15	14
692	2	-2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
694	12	2	2007	69	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
706	12	2	751	31	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
718	8	-3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
